team,log_attack,log_defence,matches_played,log_attack_shrunk,log_defence_shrunk,attack_shrunk,defence_shrunk,net_raw,net_shrunk
Guinea,0.1538612869398144,0.2945814105968945,64,0.060044035705898016,0.1149585992573247,1.0618833062967767,1.1218269921398796,-0.14072012365708012,-0.05491456355142668
Brunei,-2.0492585625556687,-1.5330695843210012,12,-0.21956252909865065,-0.16425745546296439,0.802869953388913,0.84852353673633,-0.5161889782346676,-0.055305073635686264
Burundi,-0.44730899361843385,-0.1740514487734677,28,-0.09784806507575777,-0.03807375441919606,0.906786665851599,0.9626419391757689,-0.2732575448449661,-0.05977431065656171
Faroe Islands,0.22148148872756718,0.3189321036208555,180,0.1423813123663616,0.2050277808991214,1.1530162240687387,1.2275591671868695,-0.09745061489328832,-0.06264646853275982
Tahiti,-1.0835432331503918,-0.7963507380065368,28,-0.23702430497337357,-0.1742017239389299,0.7889721118384017,0.8401274067541263,-0.28719249514385503,-0.06282258103444366
Curaçao,0.315950116197299,0.554924595897217,40,0.09027217242507939,0.158549884542062,1.0944721283041707,1.1718103779913078,-0.23897447969991797,-0.06827771211698262
Iraq,0.4729593103870391,0.5997561582071399,139,0.2750688018218309,0.34881215895729056,1.3166212576926448,1.4173829226486596,-0.1267968478201008,-0.07374335713545965
Guinea-Bissau,-0.23987683885558325,0.08736442618654786,30,-0.055355428261910346,0.02016102142766489,0.9461488001597196,1.0203656275295818,-0.32724126504213114,-0.07551644968957524
American Samoa,-3.3150238120615576,-2.723811079425818,15,-0.4323935451243845,-0.3552797060120632,0.6489539337677025,0.7009773482067618,-0.5912127326357397,-0.07711383911232128
Paraguay,0.7442048193198222,0.8636129163183517,206,0.5010009551356291,0.5813864730770603,1.6503723929350402,1.7885164424001636,-0.1194080969985295,-0.08038551794143112
Gibraltar,-0.6685935620954461,-0.47779876856538417,76,-0.2887102910661065,-0.20632219551687045,0.7492292323659769,0.813570905151711,-0.1907947935300619,-0.08238809554923607
Puerto Rico,-0.21747573404702508,0.23662681652773873,23,-0.04066538529644248,0.04424729089543082,0.9601503566281703,1.045240801465119,-0.4541025505747638,-0.0849126761918733
Angola,0.06319826993350121,0.28597500698663075,65,0.024896891135131702,0.11265682093412728,1.0252094068963191,1.119247764630748,-0.22277673705312956,-0.08775992979899558
Cambodia,-1.6601631806631574,-1.3284583693955803,38,-0.45714566212739727,-0.3658073770799424,0.6330881163843118,0.6936363986109406,-0.3317048112675771,-0.09133828504745489
Hong Kong,-0.6237726788838034,-0.3357882526385453,49,-0.20513262935360546,-0.11042700925697127,0.814539277429151,0.8954516874882342,-0.2879844262452581,-0.09470562009663419
Uganda,0.26213450574438013,0.5446171263246481,52,0.08967824862057185,0.18631638532159012,1.0938222882506417,1.2048033821893038,-0.28248262058026796,-0.09663813670101827
Mauritania,-0.5477489687644914,-0.11958188699774709,30,-0.12640284285627376,-0.027595820076403172,0.8812597660660716,0.9727814660931166,-0.42816708176674434,-0.09880702277987059
New Zealand,0.338930561654029,0.6624200395835411,44,0.1035628069749752,0.202406123206082,1.1091154513639392,1.2243451421301672,-0.3234894779295121,-0.0988433162311068
Bangladesh,-1.129358020051115,-0.8058813713156553,46,-0.3558244481556996,-0.25390782931863115,0.7005956002899886,0.7757633013834235,-0.3234766487354598,-0.10191661883706843
Seychelles,-2.013058654594401,-1.5017830681184903,26,-0.41539226609393076,-0.30989174421492655,0.6600813023999305,0.7335263603982481,-0.5112755864759106,-0.10550052187900422
Cook Islands,-2.8172429112624893,-2.0987298935654635,18,-0.42974807551784455,-0.32014523800151135,0.6506729945344628,0.726043580297098,-0.7185130176970258,-0.1096028375163332
